"Nikolaus von Engelhardt";"Unexpected reproductive performance of male zebra finches in relation to early and current social conditions     (#178)";"The social environment during adolescence affects adult behaviour in many species, but the functional significance of these effects is not well understood. Zebra finches are highly social colonial breeders but sometimes breed at a distance from others. Early social environment may thus predict adult reproductive competition. We found earlier that males growing up in a group show less courtship and aggression as adults than males reared in pairs. The behaviour of pair-reared males may be beneficial at low densities but detrimental when breeding colonially. We tested this by comparing reproductive performance of pair- and group-reared males under low density (two males and one female) and high density (5 males and 4 females) social environments. Suprisingly, pair-reared males produced more offspring under high densities, whereas group-reared males were more successful under low density. Although this match-mismatch effect supports the idea that male behaviour is adaptively shaped by the early social environment, it is also clear that the influence of adult social conditions is more complex than expected. Reproductive success also appeared to enhance male aggressiveness and reduce male courtship. This contrasts with permanent effects of the adolescent social environment found earlier. The most likely explanation is that behaviour was still plastic in our study, since males were placed into breeding aviaries during early adulthood. Future studies should focus in more detail on how the timing of social experience between early development and first reproduction affects adult behaviour. Also, to understand the functional relevance of the observed effects, reproductive performance should be compared under a range conditions that reflect the changing costs and benefits of sociality and reproductive competition under different densities in the natural environment.";"University of Bielefeld, Bielefeld, NRW, Germany"
"Lynne U Sneddon";"Investigating dominance status, aggressiveness and personality in the rainbow trout     (#220)";"Rank position within a dominance hierarchy and the outcome of pair-wise interactions influences the access to valuable resources including food, shelter and mates and influences overall fitness and survival. Rainbow trout form clear, linear dominance hierarchies in groups and also engage in agonistic interactions in pairs. In farmed rainbow trout, aggression may have economic consequences, since repeated agonistic encounters may contribute to the stress levels of the fish and may impact upon welfare. Once dominance is established, dominant individuals show distinct behavioural, physiological and genetic differences to its subordinates and aggression decreases. It is therefore difficult to disentangle the genetic effects of aggression from those of dominance. However, by measuring aggression levels of trout after a single, short encounter, it may be possible to determine a genetic profile of aggression rather than dominance. Advances in sequencing technologies mean that novel candidate genes can be discovered to add to those already known. Moreover, by using shotgun sequencing, the “aggression transcriptome” may be revealed, giving a comprehensive view of evolutionarily important behaviour. This presentation will review research on profiling gene expression in the brains of rank members of dominance hierarchies using a custom built microarray library and exploring gene expression in the brains of winners and losers of dyadic interactions using 454 sequencing alongside hormonal and behavioural measures to determine the genomic correlates of aggressive performance. A number of genes linked to stress and behaviour were identified and further tested in experiments exploring bold, aggressive phenotypes versus shy, timid phenotypes. These genes provide targets for future studies.";"University of Liverpool, Liverpool, United Kingdom"
"Julia C Redfern";"Effects of maternal cortisol treatment on offspring size, behaviour, and responsiveness to stress in wild largemouth bass (Micropterus salmoides).     (#221)";"Understanding how parental stress affects offspring fitness is\nrelevant to conservation issues because the future of any population ultimately\nrelies on the successful development, survival, and reproduction of its\noffspring. In particular, stress in female fish prior to spawn can affect offspring\ncharacteristics after hatch because maternal hormones, mRNA, proteins and\nlipids are deposited into the developing eggs. The glucocorticoid stress\nhormone cortisol is of interest as a mediator of maternal stress on offspring\ncharacteristics because cortisol plays an organizational role during early\ndevelopment in teleost fish. The present study tested the hypothesis that maternal\nexposure to exogenous cortisol prior to spawn affects offspring phenotype by\nhormonal mediation. Adult largemouth bass (Micropterus\nsalmoides) were collected from lakes and distributed into one-acre\nsemi-natural experimental ponds at the Sam Parr Biological Station in Illinois,\nUSA. Females in half of the ponds were treated with a cortisol impregnated\ncocoa butter implant prior to spawn while the remaining ponds contained\nuntreated (control) females. After spawn, offspring size, baseline and stress-induced\ncortisol following air exposure, and behaviour (anxiety, exploration, boldness,\nand aggression) at different life-stages were compared between control and\ncortisol-treated mothers. Maternal cortisol treatment did not have a\nsignificant effect on spawning success or timing, but offspring of\ncortisol-treated mothers had higher embryo cortisol levels and mass right after\nhatch, and were less bold and less exploratory. These and other effects of\nelevated maternal cortisol will be discussed.";"Biology, University of Ottawa, Ottawa, Ontario, Canada"
"Dennis Wormald";"A comparison of stress coping style in greyhound dogs with or without aggression.     (#222)";"The way in which an animal copes with stress and anxiety may\ninfluence its propensity to display aggressive behaviour. This study aimed to\nmeasure stress coping styles in dogs undergoing an aggression test assessment for\nrehoming suitability. Greyhound dogs (n=34) from a canine blood bank service were\nrecruited. Dogs were individually tested during their monthly blood donation,\nwith salivary cortisol measurements taken 5 minutes prior to, and 20\nminutes after the procedure. During the procedure, a Polar® heart rate monitor\nmeasured heart rate and R-R intervals. During the following 6 months, the dogs\nwere tested for rehoming suitability including a test for inter-dog aggression.\nGreyhound dogs passed this test if they did not display any signs of aggression\ntowards an unfamiliar dog. The pass rate for the\ndogs in this study was 65%. There was no significant difference in pre and post-bleeding\nsalivary cortisol levels detected across all dogs (0.17ng/ml, 95%CI, -0.37 to\n0.72, P = 0.528). However, dogs that\nfailed the aggression test tended to have increased salivary cortisol levels\nafter the blood collection procedure, with the difference between the pre and\npost-bleeding cortisol levels significantly higher in dogs that failed the\naggression test compared with dogs that passed (0.97ng/ml, 95% CI, 0.11 to 1.83,\nP = 0.029). Mean heart rate during\nthe procedure was greater in dogs that failed the aggression test (13.6bpm, 95%\nCI, 2.3 to 24.8, P = 0.018), however\nheart rate variability (SDNN) was greater in dogs that passed (53.5, 95% CI, 24.7\nto 82.2, P = 0.001). This study\ndemonstrates a novel method of measuring stress coping style in dogs which may correlate\nwith aggression and could serve a broad range of future applications. ";"Faculty of Veterinary and Agricultural Sciences, University of Melbourne, Werribee, VIC, Australia"
"Tobias Tiedtke";"Stability of cortisol stress responsiveness over the life time and the impact of the social environment     (#223)";"Cortisol stress responsiveness\nis an essential feature of biobehavioural profiles as it is critically involved\nin the control of behaviour and provides the organism with energy to cope with\nchallenge. The aim of this study was to examine whether cortisol stress\nresponsiveness represents a temporally stable trait over the life time and how\nthis is influenced by the social environment that is experienced during\ndevelopment.For that purpose,\na series of experiments in guinea pigs (Cavia\naperea f. porcellus) was\nconducted in order to test for stability of interindividual differences in cortisol\nstress responsiveness during various life stages. When male guinea pigs housed\nin large mixed-sex colonies were repeatedly exposed singly to a novel enclosure,\nthe acute cortisol stress response was remarkably stable during postweaning and\nearly adolescent phases. That is, cortisol response values were\nindividually consistent over retesting intervals from 20 to 30 days and 30 to\n55 days of age, respectively. This stability was confirmed for adult animals (approximately\n7 to 17 months) over even longer retesting intervals of about 2 months. In\ncontrast, no significant consistency of cortisol responses was found from early\nto late adolescence (55 to 120 days), which covers the phase where\ncolony-housed males show a socially mediated suppression of HPA reactivity. On\nthe other hand, pair-housed males, which do not show suppressed HPA\nresponsiveness during adolescence, exhibited highly stable individual\ndifferences in cortisol responses over exactly the same period.Taken together, individual\ncortisol stress responsiveness seems to be a highly stable trait during most\nlife stages. However, the social environment has remarkable influence on this\nstability during phases of increased developmental plasticity.This study was supported by grants from the German Research Foundation (DFG-Forschergruppe FOR 1232, Sa389/11-1/2).";"University of Münster, Münster, NRW, Germany"
"Laura K Lopez";"Hostile waters: assessing the effect of simultaneous multiple abiotic variables on aggression in freshwater fish.     (#224)";"Abiotic variables are\nthought to play a key role in mediating aggressive interactions between\ninvasive and native species. What is less clear is how multiple variables, such\nas temperature and salinity, interact to influence interactions, which is\nproblematic given both the current and future variability of abiotic factors. Whilst\ninvasive fish are often more aggressive at higher temperatures, this could be negated\nat high salinities, depending on osmoregulation. In aquatic systems, one of the\nmost ubiquitous invasive freshwater fishes in Australia is the Eastern Mosquito\nfish (Gambusia holbrooki) which is\nresponsible for a decline in native biodiversity. Despite some evidence that high\nsalinity alone limits G. holbrooki‘s behavioural dominance, it is unclear how\nanother key water parameter- temperature- interacts with salinity to influence this\nspecies’ interactions with native fish. We conducted a highly controlled laboratory experiment in\nwhich we examined the relative effects of temperature and salinity on the\nagonistic interactions of G. holbrooki and\nan important native freshwater species, the Australian Bass (Macquaria novemaculeata). We subjected\nindividuals to two levels of salinity (15 ‰ and 35 ‰) and temperature (21 °C\nand 28 °C), in a multi-factorial design, and scored both intra and inter\nspecific aggression. In G. holbrooki and\nM. novemaculeata, both intra and interspecific\naggression increased with elevated temperature when salinity was low, but not\nwhen salinity was high. Although there was no correlation between body size and\naggression in G. holbrooki, there was\na positive correlation in M.\nnovemaculeata, with larger individuals more aggressive to hetero-specifics\nwhen temperature and salinity were elevated individually, but not when they both\nhigh. These results illustrate the complex relationship between species\nspecific thermal and salinity tolerance, body size and aggressive behaviour and\nsuggest that G. holbrooki will\ncontinue to dominate warming inland water bodies where salinity does not\nincrease.";"Biological Sciences, University of Wollongong, Wollongong, NSW, Australia"
"Oyvind Overli";"Context dependent interaction between stress coping style, aggression, and social dominance     (#225)";"Understanding the causes and consequences of individual differences in behavior, neurobiology, and physiological regulation is advancing in several biological disciplines, from evolutionary ecology to biomedicine.  Social interaction is one intensively studied factor that can modify both behavior and physiology. Pre-existing differences in physiology, whether innate or acquired, may determine the outcome of agonistic interactions and hence social rank. Obviously, it is not straightforward to disentangle causes and consequences in this interaction. Here, I will review work on the HR-LR (high- and low-responsive) rainbow trout model, initially selected for contrasting post-stress cortisol levels. I will dwell on the observation that LR fish usually show a proactive behavioral pattern and also win contests for social dominance against size-matched HR. This outcome is however context-dependent, with HR fish becoming dominant in a new environment after food restriction and transport. More recent examples of subtle environmental changes with high impact on aggression include unpredictable omission of expected rewards (a.k.a. 'frustration'), which has a remarkable stimulatory effect on usually inferior (i.e. smaller bodied) competitors.";"Norwegian University of Life Sciences, Oslo, Norway"
"Damien R Farine";"Shared decision-making drives collective movement in wild baboons     (#226)";"Overcoming conflicts of interest about where to go and what to do is a primary challenge of group-living. The behavioural strategies organisms use to reach consensus decisions are central to understanding the evolution of social complexity. Democratic processes underlie collective dynamics across a wide range of species, but it remains unknown if similar mechanisms apply when groups are strongly stratified. By simultaneously tracking the movements of members of a wild baboon troop using high-resolution GPS telemetry, we show that shared decision-making governs collective movement decisions, even in these socially complex, highly stratified societies. Baboons are more likely to follow when there is strong directional agreement among multiple movement initiators. When initiators propose movement directions that are different, followers compromise by moving in the average of the proposed directions, but only if this difference is small. If the difference between proposed directions exceeds a critical angle, followers move in one direction or the other, and choose based on a majority rule. Our results highlight the importance of explicitly considering the geometry of decision-making in mobile animal groups, and suggest that collective action based on relatively simple rules may be widespread even in complex animal societies. ";"Department of Anthropology, University of California Davis, Davis, Ca, USA"
"Amir Ayali";"Repeated pause-or-go decisions of individuals are instrumental in the coordinated marching of locust swarms     (#227)";"The coordinated activity of locust swarms has always been a challenge to laymen and scientists alike. As part of our ongoing effort to decipher the rules governing locust coordinated behaviour, we used video-recording and cutting-edge movement tracking methods to monitor the marching behaviour of five-instar desert locust nymphs. A group of crowd-reared nymphs in our experimental system spontaneously generated robust and consistent coordinated marching. Using high temporal and spatial resolution analysis, we investigated the early stages and maintenance of this behaviour, from global properties of the swarm, to the movement patterns of individuals and the effective social interaction between conspecifics.  A major feature of the behaviour of individuals within the crowd was intermittent switching between standing and walking, triggered by tactile and/or visual stimuli. This intermittent motion pattern constitute a sequence of individual decisions in which animals repeatedly reassess their situation and their environment, and decide whether or not to swarm. Accordingly, we introduced a new agent-based modelling approach in which pause-and-go motion is pivotal. This interpretation explains several macroscopic observables of the entire swarm, for example, the measured correlation between the order parameter (which quantifies the level of synchronization) and the fraction of walking animals. Theoretically, it implies the existence of generic characteristics in the emergence of collective order in swarms. The suggested instrumental role of visual stimuli was further augmented by neurophysiological experiments showing that the Descending Contralateral Movement Detectors (DCMD, a pair of interneurons instrumental in directing visual sensory inputs to motor centres) are sensitive to stimuli related to approaching and receding walking insects. Furthermore, the DCMD of gregarious animals showed a more adapted response to the visual trigger observed (compared to solitary-reared animals). We are currently further investigating the effects of a changing environment on the behaviour of the individual locusts and the swarm. We are also looking at the marching locusts as inspiration for swarming robots.";"Department of Zoology, Tel Aviv University, Tel Aviv, Israel"
"Chris R Reid";"Self-organized living army ant bridges dynamically move to balance cost-benefit trade-offs     (#228)";"Scenarios requiring the\ncoordination of many individual units to accomplish some higher-level task are\ncommon to systems at many scales in biology, yet the ability of individual\nanimals to join together to create functional structures is rare and confined\nto the social insects. Eciton army\nants build complex “bridges” using linked individuals to span gaps in their\nforaging trail, including gaps exceeding the reach of ants from either side, by\nprocesses which have never been investigated. We performed novel field studies using\nan apparatus to induce a variable angle of deviation from (and return to) the\nnatural foraging trails of Eciton hamatum.\nOur aim is to understand how bridges are built and how their position is\naffected by the angle of path deviation and traffic flow. While the presence of\nbridges optimises the length of the trail network, the colony also pays a cost\nin the number of ants locked up in the structure and hence unable to forage. We\nuse our findings to examine how the ants respond to this cost-benefit trade-off.\nWe make the unprecedented discovery that army ants dynamically adjust the\nlocation of their bridges, initiating bridges at the furthest point from the\nmain trail axis and moving them in over time, lengthening the structures such\nthat large gaps can be spanned. The final resting location of the structure\nmeets a cost-benefit trade-off at the colony level, where large bridges\nincrease foraging trail efficiency but sequester more workers from the foraging\npool. Our study demonstrates not only how a group of simple units can\nself-assemble to make a complex structure without a blueprint or global controller,\nbut also how this structure can be dynamically modified to meet optimality\nconstraints in a cost-benefit trade-off, without any individual unit having\ninformation on either global benefits or costs. Insights generated by our study can inform\nfuture engineers in programming robot swarms capable of constructing a broad\nrange of self-assemblages.";"Faculty of Agriculture and the Environment, University of Sydney, Eveleigh, NSW, Australia"
"Matthew J Hansen";"The influence of nutritional state on individual and group movement behaviour in shoals of crimson-spotted rainbowfish (melanotaenia duboulayi)     (#229)";"Groups are often heterogeneously structured,\nand may be composed of selfish individuals responding to different internal\nstimuli. Group level behaviour can be determined by the slight differences in\nsimple behavioural movement parameters structuring local interactions between\nconspecifics. To accurately\nunderstand individual behaviour within groups and how it affects whole group\nbehaviour, we need to measure the responses of individuals in groups to changes\nin internal state and examine the outcome of these responses within the social\ncontext. Therefore we quantified the influence of nutritional state on the\nindividual and group movement parameters of free swimming shoals of 8 rainbow\nfish, Melanotaenia duboulayi. Individual\nfish were experimentally manipulated to be in one of two nutritional states,\nhungry or satiated, and were assayed in three group compositions; all-hungry\n(8:0 hungry:satiated), mixed (4:4), or all-satiated (0:8).  We showed that the internal nutritional\nstate of individual fish affected basic behaviours relating to spatial positioning.\nThe interaction between pairs of fish was dependent on the nutritional state of\nboth fish and there was an additive effect of individual behaviour on group behaviour,\nwhich meant that group behaviour reflected the motivations of its individual\nmembers in such a way that allowed individuals to fulfill their own behavioural\nneeds whilst still attaining the benefits of grouping.";"the University of Sydney, Camperdown, NSW, Australia"
"Amir Ayali";"Discussion     (28819)";"Discussion ";"Department of Zoology, Tel Aviv University, Tel Aviv, Israel"
"Anand Vasudevan";"Variation in Mate Choice: Major Urinary Proteins as a Sexual Signal in Rats     (#151)";"What does the tail of a peacock, antlers of a deer\nand pheromones in rat urine have in common? These are sexually dimorphic traits -\nprimarily seen in males- and have evolved with the purpose to attract mates. Sexual\nselection gives rise to traits that aim to maximize reproductive success, often\nat the expense of survival due to the demands it places on the signaler. An\nindividual’s fitness determines how it copes with this cost, leading to\nvariation in strength of sexual signal which females use to choose a mate. In\nrodents, such social information can be relayed by male odors, often via\nurinary cues. A putative candidate for a sexual signal in rats is Major Urinary\nProteins (MUPs) which is a member of the lipocalin family that transports small\nhydrophobic molecules (volatiles). It is secreted in copious amounts in the\nurine which is a common communication mode of rats, making it a good way to\nadvertise sexual fitness. Preliminary work in rats has demonstrated the\nsufficiency and necessity of MUPs to attract females. We show that MUPs mediate\nsexual signaling in a dose dependant manner and we have correlated female\npreference for males with more MUPs. Moreover, a dynamic sexual signal will\nalso be open to manipulation. Parasites are known to exploit such avenues to\nenhance transmission efficiency. We have used a relevant perturbation model in Toxoplasma gondii andhave shown that it manipulates mate\nchoice, causing females to prefer infected male rats and is sexually\ntransmissible. Thus, a parasite that can enhance sexually selected traits of a\nhost will benefit from blunted selection pressure from the host and gain\nadvantage of transmission. To this end, we show that infected male rats have\ngreater levels of MUPs in their liver and urine, giving credence to idea of\nMUPs as a sexual signal. ";"School of Biological Sciences, Nanyang Technological University, Singapore"
"Bruce Waldman";"Chemical Communication in Archaic New Zealand Frogs     (#193)";"Studies of the social behaviour of\nanuran amphibians traditionally have centred on the\nrole of bioacoustic signalling in mate choice. However, the abilities of amphibians to use chemical cues for detecting prey and\npredators, homing and navigation, and\nterritorial defence have been well documented. In recent years researchers have begun to realise that\nfrogs and toads communicate through multimodal channels. The most archaic lineages of frogs, represented by the New Zealand\nfamily Leiopelmatidae, communicate by chemical rather than bioacoustic signals.\nIn the wild, Hamilton’s frogs, Leiopelma\nhamiltoni, live 40 years or more, rarely moving outside\nsmall (< 25 m2), well-defined home ranges. At\nnight, individuals travel slowly above ground throughout their home ranges and\nreturn to diurnal refuges as morning approaches. Frogs were collected in the field, held in containers for 72 hours, and then tested for their discrimination between substrates that they themselves had marked and those marked by conspecifics.\nIndividuals showed evidence of self-recognition as they spent more time on\ntheir own substrates than on those marked by frogs collected from other home\nranges. This social discrimination was strongest when subjects were presented\nchemical cues of conspecifics from home ranges that did not\noverlap with their own. Using the same protocol, subjects were exposed just to samples of skin secretions, urine, or faeces that were collected\nfrom conspecifics or themselves. Skin secretions were most effective in\neliciting self-recognition, as subjects readily discriminated between their own\nodours and those of conspecifics when exposed only\nto swabs taken from the skin. Subjects also discriminated between substrates\nmarked by self and non-self urine. However, subjects did not consistently\ndiscriminate between their own faeces and\nthose of conspecifics. These findings\nraise the possibility that chemical communication may complement bioacoustical signalling\nabilities to serve a variety of social functions in anuran amphibians.";"Seoul National University, Seoul, South Korea"
"Katharina Mahr";"Do birds eavesdrop on predator communication? Experimental evidence for olfaction-based predator risk detection in red-legged partridges (Alectoris rufa)     (#194)";"Growing evidence suggests that birds can use olfactory cues to detect the presence of predators. We predict that the ability to gather information about predator presence through chemical cues might be particularly important for ground-living and foraging bird species, since their main predators, namely mammals and reptiles, use chemical communication. Therefore, we experimentally examine the role of olfaction in the non-domesticated ground-living red-legged partridge (Alectoris rufa). We offered three different types of olfactory stimuli involving predator odor, but also the alarm scent of an avian species, representing (i) danger; (ii) predator presence (iii) neutral smell, by scenting sand for soiling with either of the stimuli. Red-legged Partridges showed significant differences in the preferences for the three scents. Our results indicate for the first time that, in regard to risk assessment and similar to avian alarm calls, chemical cues may possibly act as a source of information on interspecific levels between avian species.";"University of Veterinary Medicine, Vienna, VIENNA, Austria"
"Milla Mihailova";"Olfactory signalling in an avian species complex: the crimson rosella (platycercus elegans)     (#195)";"Despite recent evidence indicating\nthat birds can communicate using olfaction, the function of odour in avian\ncommunication is still poorly understood. The crimson rosella (Platycercus elegans) species complex is\nan interesting candidate for studying olfactory signalling. It is often\nconsidered a rare example of a ring species, featuring a cline of\nphenotypically and genetically distinct subspecies, which form a near\ncontinuous geographical ring with gene flow. The species also produces a\ndistinct and strong plumage odour, the function of which is unknown. In this study, we\ncombined field and lab-based behavioural experiments, with chemical analyses of\nthe plumage odour to test novel hypotheses about the role of odour in avian\nsignalling. In lab-based choice experiments, both males and females were able\nto discriminate between their own species plumage odour over a competitive\nheterospecific plumage odour. Manipulating odours placed at nestbox entrances\nduring incubation, we found that female P.\ne. elegans could detect odour differences between species, subspecies and\nconspecific sexes. Field experiments also revealed that ringtail (Pseudocheirus peregrinus) and brushtail\npossums (Trichosurus vulpecula) could\ndistinguish the odour of P. elegans. This\nsuggests likely costs to avian plumage odour, by revealing that the odour is\ndetectable to probable predators and competitors of the species. Using gas\nchromatography mass spectrometry (GCMS) of P.\nelegans plumage, we found chemical differences between subspecies, season,\nsex and age. This provides the first evidence that plumage odour composition\ncan vary between avian subspecies, and may act as a signal for subspecies\nrecognition in the P. elegans complex.\nTaken together, our data suggest that olfaction may play a more important role\nin communication for P. elegans than\npreviously realised, and has the potential to contribute to the maintenance of\ndiversity in this putative ring species.";"Centre for Integrative Ecology, Deakin University, Geelong, Victoria, Australia"
"Megan Friesen";"Examining sensory modes of procellariiform seabirds: a comparison of chemical signatures across species      (#196)";"Species active in extreme environments often exhibit\nspecialized sensory adaptations to communicate, navigate, and forage.  Procellariiform seabirds (including petrels and\nalbatrosses) live entirely on pelagic oceans, are highly philopatric, and many return\nto dense breeding colonies at night where they often nest in underground\nburrows.  These behaviours likely\nindicate a multi-modal use of specialized senses.  For example, nocturnal breeding behaviour has\nemphasized the importance of auditory cues in many petrel species.  Additionally, Procellariiformes (tube-nosed\nseabirds) are noted as having one of the largest avian olfactory bulb to brain\nsize ratios, and are thought to use chemical cues for foraging, and burrow and\nmate location. The use of odour for communication and recognition indicates\ndistinct chemical profiles. We hypothesized that within the order of tube-nosed\nseabirds, species-specific chemical profiles would be evident and likely used as\ninter-specific distinguishable traits.  We used gas chromatography-mass spectrometry\n(gc-ms), headspace analysis of feathers from five species of procellariiform seabirds\n(spanning three families and four genera), and one species from the closely\nrelated order Sphenisciformes (penguins) to create species-specific odour\nprofiles and compare the chemical make-up within these groups.  Results from this study indicate that some\nspecies may be more chemically distinct than others, signifying a greater\nreliance on olfactory sensing for various life histories traits.   As Procellariiformes are one of the most endangered\norders of birds in the world, understanding the sensory adaptations of this\ngroup will provide valuable information for sensory-based conservation\ntechniques, and previously unknown behavioural signalling methods. ";"University of Auckland, Auckland, NORTH ISLAND, New Zealand"
"Matthew Symonds";"Discussion     (28820)";"Discussion";"Deakin University, Burwood, VIC, Australia"
"Rachael C Shaw";"Wild psychometrics: assessing the link between “general” cognitive ability and life history variation in New Zealand robins     (#237)";"In human psychometric testing, individual performances across a range of cognitive processes are positively correlated, providing evidence for a \"general intelligence\" factor known as ‘g’. The structure of intelligence and individual cognitive variation have been extensively studied in humans, yet they have received far less attention in non-human animals. In particular, the development of a test battery suitable for quantifying individual cognitive performance in birds remains in its infancy. Additionally, implementing this approach in the wild, where the ecological significance of cognition can also be explored, presents considerable logistical challenges for most species. We developed a cognitive test battery for wild New Zealand North Island robins (Petroica longipes). Our battery was comprised of six tasks based on established measures of avian cognitive performance: a motor task, colour and shape discrimination, reversal learning, spatial memory and inhibitory control. Robins (N = 20) varied greatly in their ability to solve these tasks and we found weakly positive, non-significant correlations between most tasks. A principal components analysis (PCA) of task performances yielded two factors with eigenvalues >1. The first component extracted explained over 34% of the variance in cognitive performance and all six tasks loaded positively on this first component. We show that these results are robust using randomisation tests. Our results thus suggest that a general cognitive factor, analogous to human g, underpins cognitive performance in wild North Island robins tested in their natural habitat. We monitored the reproductive behaviour and output of robins during the 2014-2015 breeding season. General cognitive ability was not predictive of any measures of life-history variation for male robins (N = 13). However, male spatial memory performance influenced the number of eggs that a pair produced, suggesting a potential link between cognition and fitness in this species.";"Victoria University of Wellington, Wellington, New Zealand"
"Andrea S Griffin";"Innovative problem-solving in a worldwide invasive bird: an analysis of underpinning mechanisms     (#238)";"Innovation, the invention of a new behaviour or the use of a pre-existing one in a novel context, is an important source of behavioral plasticity. Large-scale comparative analyses have revealed that the number of anecdotal reports of novel feeding behaviours increases with relative brain size across both primate and bird taxa. This finding has prompted the suggestion that behavioural flexibility provides a comparative measure of cross-taxon variation in cognitive ability. Yet, to date, the potential role of cognitive mechanisms in innovative behaviour remains speculative. In this paper, I will combine data gathered using the highly successful ecological invader, the common myna, Acridotheres tristis , into a model of how innovative behaviour might be generated with or without the involvement of cognitive processes. Implications for understanding the behavioural and cognitive processes that animals need to adjust to rampant environmental change will be discussed.";"School of Psychology, University of Newcastle, Callaghan, NSW, Australia"
"Gisela Kaplan";"Play behaviour and cognition in Australian native birds     (#239)";", "University of New England, Armidale, NSW, Australia"
"Debbie M Kelly";"Landmark configuration influences spatial search by Clark’s nutcrackers (Nucifraga columbiana).     (#240)";"Clark’s\nnutcrackers use objects within their environment as landmarks to accurately\nlocate previously hidden food-caches. \nPrevious research has shown that nutcrackers have long lasting memories\nfor spatial locations, with individuals recovering thousands of food-caches\nhidden several months earlier.  Our\nresearch aims to understand how these birds use landmarks to accurately\nrelocate to goal positions.  During the\ncurrent experiment, four groups of nutcrackers were trained to find food\nconsistently hidden in a large laboratory arena.  The food was consistently hidden in relation\nto a one, two or three landmark array, depending on experimental group. In\naddition, the shape of the array differed among the four groups.  This procedure allowed us to examine whether\nthe number and/or the spatial arrangement influenced search accuracy during\ntraining.  Furthermore, upon completion\nof training we administered non-rewarded tests in which one landmark was\nsystematically shifted.  These tests\nallowed us to examine whether the groups of birds relied on individual\nlandmarks to a similar degree.";"University of Manitoba, Winnipeg, MANITOBA, Canada"
"Sarah A Jelbert";"Template matching in tool manufacture by New Caledonian crows     (#241)";"New Caledonian crows are an exceptional species of bird,\ncapable of a range of sophisticated tool behaviours. They use and manufacture\nseveral different types of tool in the wild – including hooked stick tools and\nvarious types of barbed Pandanus tools – and can solve complex meta-tool\nproblems in captivity. At present, it is unclear how juvenile New Caledonian\ncrows learn to manufacture the complex types of tools that are present among\nsome populations of crows but not others. To date, there is little evidence\nthat New Caledonian crows are particularly adept social learners, or that they\nimitate the actions of conspecifics. If this is the case, then how can regional\ntool variation be explained? In this talk I will discuss a mechanism for high\nfidelity transmission without imitation. Specifically, that New Caledonian\ncrows are capable of manufacturing tools by matching to a tool template. I will\ndiscuss very recent evidence that supports this theory, demonstrating that New\nCaledonian crows spontaneously manufacture paper objects to match previously\nexperienced examples.";"University of Auckland, Auckland, New Zealand"
"Carel ten Cate";"Discussion     (28821)";"Discussion";"Leiden University, Leiden, Netherlands"
"Megan J Welch";"Contrasting effects of ocean acidification on reproduction in reef fishes     (#243)";"Determining variation in marine species’ sensitivity to ocean acidification is critical for future success of marine ecosystems under changing environmental conditions. Reproduction is critical for individual and population success, yet is energetically expensive and is predicted to be adversely affected by ocean acidification in many marine organisms.  We investigated the effects of projected future CO2 levels in the ocean on reproductive output of two species of damselfish, Amphiprion percula and Acanthochromis polyacanthus. Adult breeding pairs were held under three CO2 treatments: current-day control (365 μatm), moderate CO2 (658 μatm), and high CO2 (1023 μatm) for a 7-month period that included the summer breeding season. Reproductive output increased in A. percula, with more pairs breeding and a 30% increase in the number of clutches produced per pair in the high CO2 group. In contrast, A. polyacanthus exhibited a significant decrease in reproductive output, with fewer pairs breeding and a 37% reduction in the number of clutches produced per pair. Despite the variation in reproduction for these two species, neither species showed a difference in parental conditioning between control and high CO2 treatments. Our results demonstrate contrasting impacts of ocean acidification among fish species, even within the same family. A greater understanding of the impacts of ocean acidification on reproductive performance is required to predict the consequences for future populations of marine organisms.";"James Cook University, Douglas, QLD, Australia"
"Nikolai Tatarnic";"Sexual conflict and antagonistic coevolution in the riffle bug genus Austromicrovelia (Heteroptera: Veliidae)     (#244)";"Sexual conflict is thought to be a significant driving force in the evolution of sexual dimorphism, and underpins the sexually dimorphic grasping and anti-grasping structures found in many water strider species (Gerridae). By examining video recordings of premating struggles in the Australian riffle bug genus Austromicrovelia, we show that as in the gerrids, the Veliidae may face similar selective pressures, which may lead to conflict between the sexes. From our video recordings we identify putative male and female conflict traits that interact with one another and are thus predicted to coevolve. We then use phylogenetic comparative methods to test for patterns of male and female coevolution, which are consistent with a sexually antagonistic arms race.";"Western Australian Museum, Welshpool, WA, Australia"
